"SUID","shared name","id","name","selected","AverageShortestPathLength","ClusteringCoefficient","ClosenessCentrality","IsSingleNode","PartnerOfMultiEdgedNodePairs","SelfLoops","Eccentricity","Stress","Degree","BetweennessCentrality","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Radiality","TopologicalCoefficient"
929,"meta8","meta8","meta8",FALSE,2.33333333333333,0.4,0.428571428571429,FALSE,0,0,4,90,5,0.176190476190476,3.8,0,5,0.777777777777778,0.475
932,"meta1","meta1","meta1",FALSE,2.13333333333333,0.5,0.46875,FALSE,0,0,4,58,4,0.114603174603175,4.25,0,4,0.811111111111111,0.425
935,"meta6","meta6","meta6",FALSE,1.93333333333333,0.333333333333333,0.517241379310345,FALSE,0,0,3,72,3,0.252380952380952,5,0,3,0.844444444444444,0.388888888888889
938,"meta7","meta7","meta7",FALSE,2.53333333333333,0.833333333333333,0.394736842105263,FALSE,0,0,5,14,4,0.0177777777777778,4.5,0,4,0.744444444444444,0.5625
941,"meta3","meta3","meta3",FALSE,2.53333333333333,0.833333333333333,0.394736842105263,FALSE,0,0,5,14,4,0.0177777777777778,4.5,0,4,0.744444444444444,0.5625
944,"meta11","meta11","meta11",FALSE,1.86666666666667,0.266666666666667,0.535714285714286,FALSE,0,0,3,130,6,0.378412698412698,3.33333333333333,0,6,0.855555555555556,0.303030303030303
947,"meta2","meta2","meta2",FALSE,3,1,0.333333333333333,FALSE,0,0,4,0,2,0,3,0,2,0.666666666666667,0.75
950,"meta5","meta5","meta5",FALSE,1,1,1,FALSE,0,0,1,0,2,0,2,0,2,1,1
953,"meta4","meta4","meta4",FALSE,2.6,0.333333333333333,0.384615384615385,FALSE,0,0,4,52,3,0.133333333333333,3.33333333333333,0,3,0.733333333333333,0.5
956,"meta17","meta17","meta17",FALSE,1,1,1,FALSE,0,0,1,0,2,0,2,0,2,1,1
959,"meta14","meta14","meta14",FALSE,2.53333333333333,0.833333333333333,0.394736842105263,FALSE,0,0,5,14,4,0.0177777777777778,4.5,0,4,0.744444444444444,0.5625
962,"meta16","meta16","meta16",FALSE,3,1,0.333333333333333,FALSE,0,0,4,0,2,0,3,0,2,0.666666666666667,0.75
965,"meta10","meta10","meta10",FALSE,3.13333333333333,0,0.319148936170213,FALSE,0,0,5,0,1,0,5,0,1,0.644444444444444,0
968,"meta12","meta12","meta12",FALSE,2.2,0.666666666666667,0.454545454545455,FALSE,0,0,4,32,3,0.0511111111111111,5,0,3,0.8,0.5
971,"meta20","meta20","meta20",FALSE,2.13333333333333,0.333333333333333,0.46875,FALSE,0,0,3,56,4,0.247619047619048,3.25,0,4,0.811111111111111,0.361111111111111
974,"meta18","meta18","meta18",FALSE,2.2,0.3,0.454545454545455,FALSE,0,0,4,92,5,0.277142857142857,3.2,0,5,0.8,0.466666666666667
977,"meta15","meta15","meta15",FALSE,2.33333333333333,0.666666666666667,0.428571428571429,FALSE,0,0,4,20,3,0.0301587301587302,4.33333333333333,0,3,0.777777777777778,0.541666666666667
980,"meta19","meta19","meta19",FALSE,1,1,1,FALSE,0,0,1,0,2,0,2,0,2,1,1
983,"meta13","meta13","meta13",FALSE,3.53333333333333,0,0.283018867924528,FALSE,0,0,5,0,1,0,3,0,1,0.577777777777778,0
