"metabolite","heritability"
"Metabolite1",0.000214268510627648
"Metabolite2",0.995018918528863
"Metabolite3",1
"Metabolite4",1
"Metabolite5",0.000133119231974257
"Metabolite6",0.868540488556696
"Metabolite7",0
"Metabolite8",0
"Metabolite9",0
"Metabolite10",0.12143462270787
"Metabolite11",0
"Metabolite12",0.000171185385053358
"Metabolite13",0.000136356231240944
"Metabolite14",0
"Metabolite15",1
"Metabolite16",1
"Metabolite17",1
"Metabolite18",1
"Metabolite19",0.294373050380535
"Metabolite20",0
