"pcor","node1","node2","pval","qval","prob","abs_pcor"
0.210801077973469,8,12,0.521483043242425,1,0,0.210801077973469
-0.191008900114742,1,11,0.562139519445785,1,0,0.191008900114742
-0.19027548444104,1,12,0.563670104179703,1,0,0.19027548444104
0.186310986664351,6,20,0.57197247953644,1,0,0.186310986664351
0.181737543626012,8,14,0.581609602672696,1,0,0.181737543626012
0.170985885650288,7,14,0.604509456125631,1,0,0.170985885650288
0.170619701352148,3,18,0.605295274118135,1,0,0.170619701352148
-0.169817059361576,11,20,0.607019044825818,1,0,0.169817059361576
0.167000574112989,11,12,0.613082150503088,1,0,0.167000574112989
-0.163723117242739,3,14,0.620165420724877,1,0,0.163723117242739
-0.161708280757251,3,7,0.624534554129558,1,0,0.161708280757251
0.15867803939213,7,8,0.631126275094777,1,0,0.15867803939213
0.157316256269482,6,18,0.63409658603061,1,0,0.157316256269482
0.155531881821249,2,16,0.63799608257307,1,0,0.155531881821249
-0.154934326562583,6,11,0.63930382614899,1,0,0.154934326562583
0.15357649133153,5,17,0.642278901776673,1,0,0.15357649133153
-0.150562606255591,11,15,0.648899499773684,1,0,0.150562606255591
0.149567545562446,1,15,0.651090456788317,1,0,0.149567545562446
-0.147315773891914,3,8,0.656057730387803,1,0,0.147315773891914
-0.147308048852292,4,11,0.656074793304787,1,0,0.147308048852292
-0.146265463395966,5,19,0.65837900330274,1,0,0.146265463395966
0.144552656211453,4,13,0.662170326613223,1,0,0.144552656211453
-0.143889020288797,1,8,0.663641239522435,1,0,0.143889020288797
-0.14382349864762,17,19,0.663786523311223,1,0,0.14382349864762
0.140283189339567,2,20,0.671652125414213,1,0,0.140283189339567
-0.139616327251195,14,18,0.67313709425677,1,0,0.139616327251195
0.139496260087263,16,20,0.673404572777804,1,0,0.139496260087263
-0.13922716936147,10,18,0.674004162016204,1,0,0.13922716936147
-0.138627845319257,7,18,0.675340197899518,1,0,0.138627845319257
0.137651331876991,4,15,0.677518902225516,1,0,0.137651331876991
